x_m,z_m,speed_mps,t_s
0.000,0.000,910.000,0.000
85.837,0.041,810.494,0.100
162.727,0.135,730.003,0.200
232.305,0.240,663.538,0.300
295.776,0.339,607.398,0.400
354.049,0.415,559.250,0.500
407.842,0.459,517.573,0.600
457.723,0.464,480.717,0.700
504.112,0.423,447.665,0.800
547.363,0.333,417.845,0.900
587.774,0.189,390.829,1.000
625.602,-0.014,366.100,1.100
661.062,-0.275,343.513,1.200
694.437,-0.596,324.730,1.300
726.128,-0.979,309.661,1.400
756.453,-1.426,297.296,1.500
785.639,-1.938,286.731,1.600
813.826,-2.515,277.316,1.700
841.119,-3.161,268.856,1.800
867.606,-3.875,261.201,1.900
893.360,-4.657,254.232,2.000
918.445,-5.509,247.854,2.100
942.915,-6.430,241.976,2.200
966.813,-7.420,236.470,2.300
990.174,-8.480,231.286,2.400
